Monument,Adresse,Longitude,Latitude,Source
Maison,27 quai des Bateliers,7.754171,48.580819,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085085
Maison,34 quai des Bateliers,7.75498,48.581195,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085086
Maison,36 quai des Bateliers,7.755288,48.581307,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085087
Maison,40 quai des Bateliers,7.755718,48.581531,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085088
Maison,5 rue des Bouchers,7.751481,48.578651,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085090
Maison,20 rue des Bouchers,7.75087,48.578393,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085091
Maison,2 place Broglie,7.748733,48.584709,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085093
Maison,4 quai de la Bruche,7.739176,48.580999,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085095
Maison,15 rue Brûlée,7.752686,48.585,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085096
Maison,10 rue des Dentelles,7.743108,48.580928,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085101
Maison,7 rue de l'Épine,7.748161,48.580451,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085108
Maison,2 rue des Fleurs,7.779452,48.59721,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085109
Maison,3 place de la Grande Boucherie,7.750603,48.580096,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085114
Maison,6 Grand Rue,7.739391,48.58261,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085115
Maison,8 Grand Rue,7.739467,48.582587,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085116
Maison,89 Grand Rue,7.744135,48.581565,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085118
Maison,98 Grand Rue,7.743312,48.581667,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085119
Maison,101 Grand Rue,7.744611,48.581405,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085120
Maison,126 Grand Rue,7.745338,48.581178,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085121
Maison,16 rue Gutenberg,7.747037,48.58136,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085124
Maison,20 rue Gutenberg,7.746805,48.581296,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085125
Maison,22 rue Gutenberg,7.746728,48.581287,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085126
Maison,"5 rue des Hallebardes
24 rue des Orfèvres",7.748895,48.581865,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085127
Maison,7 rue des Hallebardes,7.748947,48.581892,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085128
Maison,8 rue des Hallebardes,7.749126,48.581849,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085129
Maison,18 rue Hannong,7.742884,48.583214,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085131
Maison,25 rue du Jeu des Enfants,7.742302,48.583666,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085132
